,open,high,low,close,volume
2018/1/2,700,710.16,689.89,703.85,23006
2018/1/3,701.5,721.4,699.74,715.86,24667
2018/1/4,721.4,743.5,719.33,737.07,29997
2018/1/5,741,746.03,728.22,738.36,20281
2018/1/8,735.02,756.5,735.02,752.13,25652
2018/1/9,752.21,783,752.21,782.52,28807
2018/1/10,785,788.88,773.48,785.71,23760
2018/1/11,787,788,772,774.81,27512
2018/1/12,773.77,788.8,767.02,788.42,22763
2018/1/15,793.46,799.06,779.02,785.37,25353
2018/1/16,780.48,788.61,768,772.94,31362
2018/1/17,770,774,738.51,747.93,38091
2018/1/18,747.93,765,744.09,750.74,28580
2018/1/19,752.9,758.9,739.02,750.18,23073
2018/1/22,751.81,774,751.81,773.64,28952
2018/1/23,777.81,780,768.6,773.78,22402
2018/1/24,776.44,776.46,758.6,764.46,22127
2018/1/25,761,776,751,769.16,24560
2018/1/26,767.24,777.4,764,777.22,22091
2018/1/29,778.76,779.67,735,736.32,36173
2018/1/30,736,748.77,730.02,742.08,24235
2018/1/31,739,771.71,739,764.54,27040
2018/2/1,767,767.3,752.92,757.73,23738
2018/2/2,752.22,753.23,725,740.4,33546
2018/2/5,727.22,729.96,705.6,718.23,36006
2018/2/6,703,722.6,703,708.86,33240
2018/2/7,720,723.88,682.01,683.43,38173
2018/2/8,682.2,718,682.2,700.99,35356
2018/2/9,680,689.89,658,683.43,38276
2018/2/12,691,705.5,685.2,697.48,25146
2018/2/13,705.02,714.82,704.5,711.98,20724
2018/2/14,720,720,712.22,718.45,14572
2018/2/22,727.3,744,723.24,742.45,21093
2018/2/23,747,756.56,737,742.48,20188
2018/2/26,746.88,752.05,733.02,743.51,17682
2018/2/27,749,756,737.22,737.98,21014
2018/2/28,732,742.3,719,725.62,21371
2018/3/1,728,746.85,723.77,741.97,20651
2018/3/2,738,743.56,730,736.41,13364
2018/3/5,738.18,742,717.03,720.11,20789
2018/3/6,725,727.6,697.13,718.26,28778
2018/3/7,715,724,708.99,710.04,18000
2018/3/8,714,724,708,722.76,17267
2018/3/9,727.55,732.57,723.5,728.2,15654
2018/3/12,729.55,733.92,722.77,723.95,19414
2018/3/13,723,726.6,710,710.35,18308
2018/3/14,709.67,728.08,707.22,726.88,20172
2018/3/15,728.02,747,728.02,746.47,26594
2018/3/16,747.6,753.98,738.88,739.85,18437
2018/3/19,743.97,753.99,739,753.48,17233
2018/3/20,750,752,740,747.73,13578
2018/3/21,750.11,753.11,740,742,14474
2018/3/22,744,748,724.01,726.08,20392
2018/3/23,701,723.49,700.08,711.06,24029
2018/3/26,708,715.06,701.88,713.49,19434
2018/3/27,723,725.88,704,714.74,21040
2018/3/28,699.97,703,669,682.05,51369
2018/3/29,682.2,697.85,658.41,689.1,35325
2018/3/30,686,693.5,679.88,683.62,18049
2018/4/2,680,691,674.11,680.06,17212
2018/4/3,678,687,675.39,677.91,20671
2018/4/4,682,700.43,680.38,694.01,25507
2018/4/9,697.1,705.43,690.15,698.3,15628
2018/4/10,704.8,708.5,698.46,708.02,15443
2018/4/11,710,714.78,703.02,705.36,13735
2018/4/12,704,706.88,692.22,694.2,15279
2018/4/13,698.5,701,685.08,686.86,15050
2018/4/16,680.58,686.85,677,681.38,14233
2018/4/17,685,685.38,665.6,666.2,16705
2018/4/18,671,671,645,655.64,29471
2018/4/19,659.85,680,656.66,679.96,22288
2018/4/20,681,694,668.23,670.26,22322
2018/4/23,666.01,680.33,666.01,674.01,16565
2018/4/24,676,693.5,675,689.88,20885
2018/4/25,689,692,683.02,690.97,12871
2018/4/26,692,692.28,673,678.23,17514
2018/4/27,685.25,688.36,655,662.53,27693
2018/5/2,660,668.99,645.06,667.83,30054
2018/5/3,666,673.68,658,670.88,18549
2018/5/4,670.98,674.83,660.57,662.87,23014
2018/5/7,659.95,701.88,657.77,698.17,38199
2018/5/8,698.03,712.13,698.03,708.83,26361
2018/5/9,709.08,712.3,697.12,701.95,16424
2018/5/10,703.5,716,703.5,714.19,17813
2018/5/11,718.69,730.5,715.7,718.02,18479
2018/5/14,724,743,724,742.41,22790
2018/5/15,746,746.44,734,743.06,18273
2018/5/16,740,745.66,733.28,734.52,14920
2018/5/17,735.12,737.5,724,727.38,13712
2018/5/18,723.99,741,721.19,739.32,13962
2018/5/21,744,747.3,732.48,734.82,14026
2018/5/22,735.22,739.84,730.02,739.57,9195
2018/5/23,740,740,723.58,723.78,15507
2018/5/24,720,728.66,713,715.4,14612
2018/5/25,712,727,712,716.86,13502
2018/5/28,718,740.66,715.12,740.4,22205
2018/5/29,738.8,750,731.28,731.43,19535
2018/5/30,727.22,737.3,720.05,725.87,19487
2018/5/31,730.25,751.62,730.24,751.13,30672
2018/6/1,751.13,754.98,738.76,745.11,17928
2018/6/4,752.35,782.9,745.88,781.97,28637
2018/6/5,786.5,794.7,777.23,788.05,23631
2018/6/6,788,800.95,782.3,785.75,22533
2018/6/7,789.98,795.55,778.9,780.97,18451
2018/6/8,780,785.9,770,777.95,19035
2018/6/11,776.05,786,768.33,775.73,18372
2018/6/12,778,803.5,776.5,799.19,26594
2018/6/13,800,802.62,788.88,790.33,17410
2018/6/14,790,793.8,775.18,786.13,18209
2018/6/15,773.2,778.58,769.1,773.33,16248
2018/6/19,769,769,737,738,25479
2018/6/20,741,765,741,763.59,22222
2018/6/21,765.22,778.89,758.77,759.32,19264
2018/6/22,754,767,750,766.53,14107
2018/6/25,766,778.97,764.9,765.56,18398
2018/6/26,765.31,769.88,747,754.8,22399
2018/6/27,752,757,721,722.44,27293
2018/6/28,714,719,697,710.93,23868
2018/6/29,712.3,732.3,705,731.46,16721
2018/7/2,734.52,739.33,703,711.55,19252
2018/7/3,709.76,715.78,678.23,694.92,37117
2018/7/4,692,700,688,690.91,20980
2018/7/5,700,716.2,700,702.39,20965
2018/7/6,707,720.93,699.26,714.12,22675
2018/7/9,720.03,729.86,719.73,727.24,16224
2018/7/10,729,731.5,713.33,725.76,15766
2018/7/11,710,724,702.22,719.58,13293
2018/7/12,718,741.17,718,737.54,19313
2018/7/13,742.3,748.1,735.12,746.99,14427
2018/7/16,752.3,764.11,751.03,754.68,14873
2018/7/17,757,757,736.02,742.43,14552
2018/7/18,742.43,749.69,735,737.44,13492
2018/7/19,739,743.95,735.02,740.95,10576
2018/7/20,741.5,743.13,728,741.13,16648
2018/7/23,736,741.15,720.01,732.07,18995
2018/7/24,732.68,747.3,723,745.4,22725
2018/7/25,746.95,749.88,740.01,743.81,11345
2018/7/26,748.9,748.9,734.23,735.62,13162
2018/7/27,736,744.3,730,738.56,12236
2018/7/30,738.9,740.66,715,719.21,21954
2018/7/31,720.3,727.88,719.21,726.44,12761
2018/8/1,731.4,732.3,714.11,714.94,14569
2018/8/2,715.97,715.97,687.88,695.84,29183
2018/8/3,695,695,676.2,678.99,22188
2018/8/6,677,684,662.25,669.68,21910
2018/8/7,672.3,687.83,662.02,686.28,22111
2018/8/8,687.02,689,671.87,676.22,17280
2018/8/9,671,694.5,670.12,691.88,19597
2018/8/10,691.88,694.77,684.2,687.18,13247
2018/8/13,683,683,666.68,679.22,18235
2018/8/14,679.22,684.5,673.51,680.13,13175
2018/8/15,679.8,680,661,662.8,19676
2018/8/16,652,668.5,640,648.44,25975
2018/8/17,657.5,657.5,630.01,634.86,22883
2018/8/20,632.45,645.55,616.86,644.79,24980
2018/8/21,647,672.3,647,671.49,26484
2018/8/22,671,673.2,663,667.7,11072
2018/8/23,671.7,678.5,665.18,670.21,15731
2018/8/24,669,669,656.46,660.3,13473
2018/8/27,662,687.3,662,687.3,23593
2018/8/28,693,693.78,678.55,681,17313
2018/8/29,682,688.88,679.1,685.85,15740
2018/8/30,688.21,692.6,679.01,680.4,16386
2018/8/31,676.25,677,656.5,659.19,25596
2018/9/3,652,667.67,650.8,666.21,14542
2018/9/4,666.8,676,661.6,675.04,13896
2018/9/5,675,676.99,657,657.79,18509
2018/9/6,652,659.26,640,644,21434
2018/9/7,645.5,658.03,645.14,650.97,16612
2018/9/10,652.2,653.81,640.7,644.8,13807
2018/9/11,645.57,650.97,640.63,646,12599
2018/9/12,643,644.87,628.01,630,22838
2018/9/13,638,642,620,631.98,23768
2018/9/14,633.98,649.78,628.53,642.9,23113
2018/9/17,645,652.96,641.06,645.81,14155
2018/9/18,643,668,642.22,666.7,20394
2018/9/19,666.58,686,666,681.42,24386
2018/9/20,685.2,686.9,677.36,678.55,15174
2018/9/21,682,700.01,680.01,700.01,20152
2018/9/25,695,705.77,693.26,697.02,14411
2018/9/26,702.1,732.68,701.99,724.93,36315
2018/9/27,727.5,728,715.4,724,19871
2018/9/28,726.7,733.2,718.88,730,16848
2018/10/8,715.41,719,686.15,686.15,33465
2018/10/9,686.9,698.71,685.9,695,18561
2018/10/10,697.26,698,669.69,670.92,27621
2018/10/11,635.01,668.94,635.01,644.99,36479
2018/10/12,651,672.68,650.58,668,25786
2018/10/15,669.49,671.95,660.03,666.9,16372
2018/10/16,665.98,679.53,662.01,667.14,14816
2018/10/17,675,677.3,649.9,665.72,22556
2018/10/18,660,660,644.97,645.94,25239
2018/10/19,638,675,635.08,670,34662
2018/10/22,675,702.02,675,693,32770
2018/10/23,689,689,635,641.74,59652
2018/10/24,628.11,650,620,636.99,41770
2018/10/25,620,622.5,608.58,619,38249
2018/10/26,619,625,607.98,610.1,29440
2018/10/29,549.09,549.09,549.09,549.09,13175
2018/10/30,510,543,509.02,524,71401
2018/10/31,527,555,522,548.9,47630
2018/11/1,555,585.5,551.25,563,46107
2018/11/2,585,600,572.24,599.9,43800
2018/11/5,593,593,571.77,575.8,35732
2018/11/6,574,574.16,558.01,566,23887
2018/11/7,569,574.95,562.01,566.4,19975
2018/11/8,574,577,568,570.34,17723
2018/11/9,567.22,569,562,562,13536
2018/11/12,553,554.2,536.8,552,32121
2018/11/13,546.12,570,543,570,32011
2018/11/14,569.96,569.96,552.55,555.1,23135
2018/11/15,558.8,564.8,555.5,559.7,15719
2018/11/16,561,566,558.03,560,15740
2018/11/19,560.3,572,559.11,569.02,19133
2018/11/20,565,568,560,561.6,14791
2018/11/21,554,568.9,553.68,564.7,13274
2018/11/22,565.15,567.33,558,564.5,10431
2018/11/23,564,567.3,556.9,556.9,10487
2018/11/26,558,560.2,552,552.11,10750
2018/11/27,552,554.99,546.5,548.1,11338
2018/11/28,550.85,559.19,545.5,557,15787
2018/11/29,566.03,569.8,549.01,551.6,22151
2018/11/30,557,568.89,553,565,26188
2018/12/3,589,605,584.77,601.2,38736
2018/12/4,602.99,604.26,595,602.23,17825
2018/12/5,597.5,616.5,595,610.1,22045
2018/12/6,600,605.98,590.36,591.8,18986
2018/12/7,595.6,598.86,584.7,587,15925
2018/12/10,576,587.5,574.18,577.23,13664
2018/12/11,577,586.55,577,582.99,9958
2018/12/12,588.79,589.2,582.8,589,11341
2018/12/13,590,606.88,589.6,601.75,23055
2018/12/14,598.01,599.8,592,592.96,14284
2018/12/17,592.57,595.97,585.01,590.52,14554
2018/12/18,585.88,591.54,585,590.94,11855
2018/12/19,589,590.99,576.03,577.8,15504
2018/12/20,576.22,581.5,568.89,574.5,14199
2018/12/21,571,573.45,562.21,567.41,15639
2018/12/24,563.5,570.91,558,568,10308
2018/12/25,562.22,567.5,553.61,565.79,15024
2018/12/26,563.81,568.4,558,560.08,10525
2018/12/27,570,571.85,562.22,563,15927
2018/12/28,563.3,596.4,560,590.01,30427
2019/1/2,609.98,612,595.01,598.98,25897
2019/1/3,599.97,601.66,585.8,590,17683
2019/1/4,587.28,607.67,582.02,602,23244
2019/1/7,608,612,602.22,605.49,19876
2019/1/8,605.5,612,600.28,604.79,15465
2019/1/9,609.99,626.16,609.04,616.12,25608
2019/1/10,617.13,624.88,610.25,618.77,15788
2019/1/11,625,637,618.75,635.88,21831
2019/1/14,633,635.89,621.55,624.6,15374
2019/1/15,627.86,661.5,625,659.98,28939
2019/1/16,658,665.65,653.6,661.1,24078
2019/1/17,663,669.7,655.8,659.25,17232
2019/1/18,665,690.2,661.5,683.61,33574
2019/1/21,690,698.88,681.88,686.98,25686
2019/1/22,686,686,665.22,671,24392
2019/1/23,667.22,674.5,663.13,665.66,16626
2019/1/24,670.3,677.83,664.68,672.5,16388
2019/1/25,675.88,684.9,669.93,679.7,16121
2019/1/28,684,693.98,676.03,677,20352
2019/1/29,677.5,688,668,685,16045
2019/1/30,684.99,686.22,676,676,13772
2019/1/31,680,689.6,677.56,689.6,20769
2019/2/1,697.04,699,689.61,692.67,18071
2019/2/11,695,729.5,688.18,725.3,28299
2019/2/12,723,725.49,715.2,717.92,21099
2019/2/13,723,736.16,717.22,735.25,19957
2019/2/14,731.2,743.66,730.14,737.16,19530
2019/2/15,734.88,734.88,723.02,724.78,15791
2019/2/18,731,744.95,731,740,19776
2019/2/19,740.96,742.5,726.66,730.76,16869
2019/2/20,735,735,716.06,722,20664
2019/2/21,720,730.48,717,720.25,16695
2019/2/22,717,728.49,714.1,726.01,15023
2019/2/25,730.75,744.44,717.99,742.33,35075
2019/2/26,747.8,749.18,726,727.35,27733
2019/2/27,733,758.02,731,740.7,33744
2019/2/28,737.9,763.42,736.95,755.01,30575
2019/3/1,761.5,790,761,789.3,29420
2019/3/4,795,798.33,777.22,781.86,39854
2019/3/5,785,789.55,775.88,779.78,22933
2019/3/6,775,779.5,765.88,768,24283
2019/3/7,762.22,762.22,745.56,748.6,30573
2019/3/8,737.9,746.83,733.65,737.5,27521
2019/3/11,740.04,766.95,740.04,758.54,25521
2019/3/12,763.82,763.83,739,745.01,29176
2019/3/13,745.5,760.75,745.5,754,23080
2019/3/14,757,785,754,778,33454
2019/3/15,776,787.5,764.85,777.3,25352
2019/3/18,778.8,814.53,777,810.09,38432
2019/3/19,803,807.92,792.3,792.61,22450
2019/3/20,790,802.3,785,792.8,16232
2019/3/21,788,792.8,781.5,785.75,15912
2019/3/22,788.22,799.98,785,794,19109
2019/3/25,786,788,773.3,775.6,20394
2019/3/26,780,785.94,764.1,773,20115
2019/3/27,781,793.88,775,788.5,23250
2019/3/28,793.43,814.48,785.68,806.8,31172
2019/3/29,835,866.68,830.17,853.99,43994
2019/4/1,860,868.95,851,859,35541
2019/4/2,859.99,859.99,836.06,850,33125
2019/4/3,840.12,851.74,834.21,844.5,26285
2019/4/4,840,865.8,836.2,865,30640
2019/4/8,900,908,890.12,900.2,36261
2019/4/9,903,908.2,892.51,905,25785
2019/4/10,903,951.9,900,947.99,32495
2019/4/11,948,950,905.55,925.2,35698
2019/4/12,909,919.99,900.01,914,31382
2019/4/15,931,939,907,907,24675
2019/4/16,904.9,939.9,901.22,939.9,23621
2019/4/17,938,955.51,925,952,21790
2019/4/18,945.41,954.68,936.22,945.5,12595
2019/4/19,943.96,960.95,931.31,952.56,18158
2019/4/22,959.5,978.89,940.61,949.2,20460
2019/4/23,951,981.22,949.2,974.95,26459
2019/4/24,979.88,990,951.22,970,24545
2019/4/25,968.79,973.99,951.22,952.37,22662
2019/4/26,946.3,959.88,945,945,26895
2019/4/29,945,989,935,971.97,30611
2019/4/30,968,984.96,963.11,974,20140
2019/5/6,925.5,935,893,906,63101
2019/5/7,893.28,913.94,870.22,890,54308
2019/5/8,860,901.8,860,884.4,41980
2019/5/9,875,879.87,842.5,858.81,45267
2019/5/10,875.66,910.78,868.19,907.12,38366
2019/5/13,898.86,910.98,884,892,23324
2019/5/14,885,906,873,886.57,34113
2019/5/15,890.24,933,890.24,927,37288
2019/5/16,919,932,905,929.91,25619
2019/5/17,927.02,932.3,900.1,906.79,33350
2019/5/20,900,900,871,884.96,27134
2019/5/21,885,910,872.02,895,24813
2019/5/22,894.98,904,880,888,20961
2019/5/23,881,883.98,856.22,861,28599
2019/5/24,865,885,864.44,878.5,24355
2019/5/27,879.1,882.99,860.05,879,23398
2019/5/28,877.99,907.49,875.02,888,35777
2019/5/29,888.01,924.95,888.01,911.91,34947
2019/5/30,910,919.99,891.22,905.3,25428
2019/5/31,900.53,906.99,890,890,22533
2019/6/3,892,901.35,886.28,892,19337
2019/6/4,895,895.43,871,875.3,24419
2019/6/5,884,886.26,870,871.6,20046
2019/6/6,875.62,875.77,858,862.13,21244
2019/6/10,857.98,878.95,840,871.08,28320
2019/6/11,876,915.61,875,910.89,40276
2019/6/12,906.22,910.99,894,906.7,20427
2019/6/13,910,912.3,897,910,18649
2019/6/14,911,932.3,910.02,913,22677
2019/6/17,907,926.94,906.02,911.6,19533
2019/6/18,917,920,902.6,917,16012
2019/6/19,940,946.7,932.01,932.01,25730
2019/6/20,932.5,975.5,932.2,975,34064
2019/6/21,969.97,984.49,964.5,976.3,26170
2019/6/24,978.3,999.69,975,987.1,24403
2019/6/25,992,999,967,982.98,26720
2019/6/26,985,985,971.22,979.86,16356
2019/6/27,985,1001,981.12,996.35,26164
2019/6/28,985.99,988.88,971.33,984,15719
2019/7/1,1004.52,1035.6,1000.22,1031.86,26504
2019/7/2,1025,1029.5,1016,1025,26126
2019/7/3,1020,1023,981.5,987.9,35087
2019/7/4,985.8,990.8,971.22,981.2,23729
2019/7/5,986,1006,976.3,999.82,26875
2019/7/8,995.05,997.9,975,984.86,19848
2019/7/9,979.3,989,968.35,976.06,18746
2019/7/10,980.93,990.58,977,982.52,16854
2019/7/11,989.96,998.38,976,981.5,19141
2019/7/12,981.3,991.5,980.01,986.09,15644
2019/7/15,967.8,980.1,951.13,975.93,30522
2019/7/16,975.45,982.3,965,968,19391
2019/7/17,968,972.99,962.13,963.5,14801
2019/7/18,961.5,963,947.18,947.5,20097
2019/7/19,955,960.8,948,955.87,17065
2019/7/22,960,964,950.25,957.02,16967
2019/7/23,962.3,962.59,943.86,953.98,17718
2019/7/24,958.31,959.9,944.69,946.36,26724
2019/7/25,945.97,963.36,938.15,963,24590
2019/7/26,961.97,971,958.55,965.03,16230
2019/7/29,962.03,979.5,960.01,976.41,17312
2019/7/30,976.5,983,971,978.93,13359
2019/7/31,975,981.77,966.59,972.6,14971
2019/8/1,976.51,977,953.02,959.3,22624
2019/8/2,944,957.98,943,954.45,21364
2019/8/5,945,954,940,942.43,21367
2019/8/6,931,948,923.8,946.3,25648
2019/8/7,949.5,955.53,945,945,15873
2019/8/8,953.5,974,952,971.68,22582
2019/8/9,978.5,980.95,958.99,962.03,17504
2019/8/12,1010.31,1020.1,995.01,1018.63,40023
2019/8/13,1016.16,1026,1010.68,1017.95,19451
2019/8/14,1030.02,1051.9,1030.02,1043.33,25161
2019/8/15,1028,1046.48,1028,1044.9,17480
2019/8/16,1049.84,1075.58,1041,1054.6,23075
2019/8/19,1061,1069.98,1049.05,1055.88,19464
2019/8/20,1055,1073.68,1050,1070,16370
2019/8/21,1070.1,1076.97,1061.66,1066,14482
2019/8/22,1072.99,1104,1070,1104,20569
2019/8/23,1105,1133.56,1095.62,1130.1,23468
2019/8/26,1113,1128,1096.68,1102.95,26562
2019/8/27,1117,1131.31,1109,1109,27188
2019/8/28,1109,1123.19,1083.01,1100.11,28316
2019/8/29,1105,1118.18,1092.5,1113.1,17381
2019/8/30,1125,1146,1123,1142,24353
2019/9/2,1139.99,1144.98,1129,1138.76,16326
2019/9/3,1140,1151.02,1128.56,1140,17893
2019/9/4,1140.8,1142.91,1120.11,1125.01,19861
2019/9/5,1129,1144.9,1128,1144,19544
2019/9/6,1144.5,1146.15,1131,1142.49,16866
2019/9/9,1145,1148,1135,1136.52,16404
2019/9/10,1134.3,1135,1120.01,1123.85,15763
2019/9/11,1119.22,1119.97,1068,1069.52,41302
2019/9/12,1066,1109.98,1066,1099,25612
2019/9/16,1083,1103.95,1083,1099,18687
2019/9/17,1094,1106.66,1087,1094.01,18248
2019/9/18,1108.5,1150,1108.18,1148.9,33217
2019/9/19,1148,1150,1137.1,1145,14617
2019/9/20,1151,1160,1147.59,1157.42,18540
2019/9/23,1157,1157,1131,1149,19528
2019/9/24,1155,1184.9,1152,1184,22349
2019/9/25,1180,1188.87,1170.5,1174,15290
2019/9/26,1174.94,1183.35,1158.81,1167,17791
2019/9/27,1164,1183,1153,1174.75,14224
2019/9/30,1163,1169.43,1150,1150,19213
2019/10/8,1153,1180,1152.01,1167.1,18192
2019/10/9,1166.2,1166.2,1135.05,1146.81,20689
2019/10/10,1127,1158.93,1109.02,1155,23556
2019/10/11,1157,1175,1152.21,1174.6,17845
2019/10/14,1186,1187.66,1170,1180,16106
2019/10/15,1180,1215.68,1177.03,1211,21989
2019/10/16,1168,1187.5,1160,1170,34683
2019/10/17,1176,1186.66,1162.5,1183.33,19561
2019/10/18,1179,1189.99,1171.69,1175.79,18121
2019/10/21,1171.86,1178.9,1163.3,1168.5,15210
2019/10/22,1178,1181.5,1163.89,1170.8,12623
2019/10/23,1168,1178,1156.11,1158.91,15123
2019/10/24,1164.95,1166,1147.16,1150.27,17165
2019/10/25,1153.3,1172.5,1143.03,1171.35,16699
2019/10/28,1166.01,1181.01,1165,1178.29,14645
2019/10/29,1181.11,1199.96,1177.77,1193,18241
2019/10/30,1190,1192.7,1176,1183.8,15141
2019/10/31,1196,1198,1176.15,1180.01,16973
2019/11/1,1181,1191.95,1172.5,1185,16011
2019/11/4,1190,1209.99,1189,1199.59,18028
2019/11/5,1199.5,1205,1192,1199,15893
2019/11/6,1197,1204,1188.88,1193,12797
2019/11/7,1196.51,1201.88,1189,1201.37,11036
2019/11/8,1205,1215.65,1201.51,1205,15783
2019/11/11,1201.5,1206.2,1193.51,1199,12209
2019/11/12,1204,1209.6,1198.21,1201.6,12822
2019/11/13,1207,1227.8,1200,1224,19295
2019/11/14,1227,1240,1222,1230,14974
2019/11/15,1230,1232.91,1221.5,1224.9,11482
2019/11/18,1225.12,1229.45,1218,1227.28,11324
2019/11/19,1228,1241.61,1225.02,1232.32,13482
2019/11/20,1230,1239.51,1228.06,1233.75,11288
2019/11/21,1231,1235.51,1221.06,1231.3,13594
2019/11/22,1223,1229,1185,1194,26370
2019/11/25,1188.05,1194,1172.06,1182.06,22517
2019/11/26,1186.68,1198.6,1183,1185,21214
2019/11/27,1192.8,1196.62,1184.51,1189.95,11524
2019/11/28,1194.97,1197.51,1169.02,1175.8,18082
2019/11/29,1165.5,1165.5,1112.89,1129,47173
2019/12/2,1118.2,1140.02,1118.2,1133,20120
2019/12/3,1133,1133,1117.74,1118,17965
2019/12/4,1140,1144.66,1118,1122.33,19790
2019/12/5,1125,1132.01,1118,1129.8,13772
2019/12/6,1135.97,1170,1130.1,1170,25484
2019/12/9,1175,1176,1156.1,1158.7,14460
2019/12/10,1159.6,1165,1151,1164.4,10541
2019/12/11,1168,1170.75,1155.55,1158.98,8655
2019/12/12,1156,1159.94,1130.08,1137,18140
2019/12/13,1146,1165,1146,1163,18951
2019/12/16,1163,1163,1137.94,1147.92,20302
2019/12/17,1149.7,1173.6,1143.03,1169.98,28466
2019/12/18,1174,1175.2,1164,1168,14417
2019/12/19,1163,1163,1152,1157.4,13652
2019/12/20,1162.18,1162.18,1141.5,1146.3,16274
2019/12/23,1139,1162.5,1136,1149.3,17696
2019/12/24,1153,1155,1145,1148,7624
2019/12/25,1143,1143,1130.01,1133.7,14387
2019/12/26,1132,1141.98,1119.99,1135.1,13365
2019/12/27,1150,1172,1150,1163,27166
2019/12/30,1170.2,1195.5,1170.2,1185.8,24313
2019/12/31,1183,1188,1176.51,1183,14671
2020/1/2,1128,1145.06,1116,1130,75243
2020/1/3,1117,1117,1076.9,1078.56,76373
2020/1/6,1070.86,1092.9,1067.3,1077.99,34135
2020/1/7,1077.5,1099,1076.4,1094.53,28504
2020/1/8,1085.05,1095.5,1082.58,1088.14,17510
2020/1/9,1094,1105.39,1090,1102.7,22844
2020/1/10,1109,1115.99,1102.5,1112.5,21466
2020/1/13,1112.5,1129.2,1112,1124.27,23415
2020/1/14,1124.2,1124.89,1103,1107.4,21516
2020/1/15,1109.01,1121.6,1105,1112.13,16628
2020/1/16,1118.87,1118.87,1102.58,1107,14671
2020/1/17,1110,1112.78,1101.01,1107.5,15087
2020/1/20,1111.86,1111.86,1082,1091,21579
2020/1/21,1081,1087,1072.3,1075.3,21116
2020/1/22,1070,1084,1055.38,1075.51,24000
2020/1/23,1076,1076,1037,1052.8,31323
2020/2/3,985,1010.68,980,1003.92,56746
2020/2/4,1015,1057,1011.01,1038.01,36388
2020/2/5,1050,1054,1033.03,1049.99,27157
2020/2/6,1059.43,1075,1052.02,1071,30677
2020/2/7,1070.01,1077,1061.02,1076,18776
2020/2/10,1062,1074.6,1057.2,1066.49,19954
2020/2/11,1063,1099.68,1062.8,1098,27222
2020/2/12,1089,1098.79,1085.88,1097.27,17719
2020/2/13,1098,1113.89,1088.01,1091,18689
2020/2/14,1090.45,1093.51,1083.11,1088,12229
2020/2/17,1082.5,1096.19,1082.4,1093.82,16533
2020/2/18,1090.01,1096.88,1083,1084,17562
2020/2/19,1085,1101.5,1078,1096.5,21563
2020/2/20,1096.7,1124,1095.41,1118,26124
